name,application_id,unique_ci_identifier,environment,ci_regions,class,category,subcategory,manufacturer,ci_criticality,operational_status,owning_company_sector,support_group,support_group_2,support_group_3,ci_short_description,knowledge_number,knowledge_base,knowledge_domain,author,source,parent_article,language,version,confidence,workflow_state,published,valid_to,description,meta_description,knowledge_short_description,incident_resolution_sub_code,incident_resolution_code,incident_resolution_category,dv_kb_issue,dv_kb_cause,uuid
Name_11,3675,CI_11,Staging,North America,Server,Service,Backup,Manufacturer_10,Low,Decommissioned,Retail,Support_Group_4,Support_Group_1,Support_Group_4,Description of CI 11,KN_507,zYIsn,Domain_1,Author_11,Source_4,Parent_4,Spanish,1,0.57,Published,TRUE,31-12-2024,Description for article 11,Meta description for 11,Short desc for knowledge 11,Sub_Code_1,Resolution_9,Software,Issue_1,Cause_7,eeffe4c5-82b3-4a28-b22a-fb36d21e34bf
Name_12,3883,CI_12,Production,Asia,Application,Software,Backup,Manufacturer_5,High,Operational,Manufacturing,Support_Group_3,Support_Group_2,Support_Group_2,Description of CI 12,KN_789,VNFwc,Domain_4,Author_12,Source_1,Parent_1,English,5,0.54,Draft,TRUE,31-12-2023,Description for article 12,Meta description for 12,Short desc for knowledge 12,Sub_Code_2,Resolution_3,Hardware,Issue_1,Cause_7,0d7a9ab3-8664-46cf-91ea-939cad93bcab
Name_13,9504,CI_13,Staging,North America,Application,Software,Security,Manufacturer_9,Critical,Decommissioned,Healthcare,Support_Group_5,Support_Group_2,Support_Group_2,Description of CI 13,KN_103,eCqDn,Domain_4,Author_13,Source_5,Parent_2,English,3,0.67,Archived,FALSE,31-12-2025,Description for article 13,Meta description for 13,Short desc for knowledge 13,Sub_Code_7,Resolution_5,Hardware,Issue_6,Cause_4,05d210cf-24ab-4775-afad-b41c99fd49d9
Name_14,8390,CI_14,Development,North America,Application,Hardware,Security,Manufacturer_2,Critical,Operational,Finance,Support_Group_4,Support_Group_1,Support_Group_1,Description of CI 14,KN_665,KUNKj,Domain_4,Author_14,Source_1,Parent_4,German,4,0.89,Archived,TRUE,31-12-2024,Description for article 14,Meta description for 14,Short desc for knowledge 14,Sub_Code_5,Resolution_7,Software,Issue_6,Cause_8,90169b43-8d76-4ad5-876f-211393436912
Name_15,6022,CI_15,Development,North America,Server,Software,Networking,Manufacturer_6,Critical,Operational,Technology,Support_Group_2,Support_Group_2,Support_Group_2,Description of CI 15,KN_133,iESsA,Domain_5,Author_15,Source_3,Parent_2,English,4,0.89,Review,TRUE,31-12-2025,Description for article 15,Meta description for 15,Short desc for knowledge 15,Sub_Code_9,Resolution_8,Hardware,Issue_1,Cause_8,a0782892-4e85-4c36-8bd8-7e2a416ac732
Name_16,5597,CI_16,Production,Australia,Database,Service,Storage,Manufacturer_10,Critical,Operational,Finance,Support_Group_5,Support_Group_5,Support_Group_3,Description of CI 16,KN_625,grxqg,Domain_2,Author_16,Source_5,Parent_5,Spanish,2,0.87,Draft,TRUE,31-12-2023,Description for article 16,Meta description for 16,Short desc for knowledge 16,Sub_Code_8,Resolution_1,Software,Issue_6,Cause_7,e9db2f28-058d-4798-898c-949bb5d80b70
Name_17,7941,CI_17,Production,Asia,Server,Software,Compute,Manufacturer_1,Low,Decommissioned,Healthcare,Support_Group_5,Support_Group_3,Support_Group_4,Description of CI 17,KN_384,mtdfZ,Domain_5,Author_17,Source_5,Parent_5,English,3,0.8,Archived,TRUE,31-12-2025,Description for article 17,Meta description for 17,Short desc for knowledge 17,Sub_Code_9,Resolution_2,Service,Issue_8,Cause_8,31184b72-fa56-412e-97f3-e22be763212b
Name_18,2626,CI_18,Production,Australia,Server,Software,Storage,Manufacturer_2,High,Operational,Finance,Support_Group_1,Support_Group_5,Support_Group_3,Description of CI 18,KN_740,eBilT,Domain_3,Author_18,Source_2,Parent_3,Spanish,5,0.87,Archived,TRUE,31-12-2024,Description for article 18,Meta description for 18,Short desc for knowledge 18,Sub_Code_3,Resolution_3,Software,Issue_10,Cause_10,d735f0bb-701e-4e33-8bcb-c95f245fe917
Name_19,1303,CI_19,Development,Australia,Database,Software,Networking,Manufacturer_10,Low,Under Maintenance,Manufacturing,Support_Group_4,Support_Group_5,Support_Group_5,Description of CI 19,KN_778,CKKMg,Domain_1,Author_19,Source_3,Parent_5,Japanese,2,0.67,Draft,FALSE,31-12-2024,Description for article 19,Meta description for 19,Short desc for knowledge 19,Sub_Code_9,Resolution_10,Hardware,Issue_3,Cause_6,bdb28d79-eb98-4a08-8f68-2807d1fc069a
Name_20,6251,CI_20,Development,Australia,Network,Hardware,Security,Manufacturer_6,Critical,Under Maintenance,Healthcare,Support_Group_1,Support_Group_5,Support_Group_3,Description of CI 20,KN_266,rzthW,Domain_5,Author_20,Source_5,Parent_2,French,4,0.99,Published,TRUE,31-12-2025,Description for article 20,Meta description for 20,Short desc for knowledge 20,Sub_Code_10,Resolution_1,Hardware,Issue_3,Cause_10,0157021c-6de9-4516-84bc-d438bf3f5960
Name_21,2904,CI_21,Development,Australia,Database,Software,Networking,Manufacturer_2,High,Operational,Manufacturing,Support_Group_4,Support_Group_5,Support_Group_5,Description of CI 21,KN_704,KvkSS,Domain_3,Author_21,Source_2,Parent_1,German,5,0.59,Review,TRUE,31-12-2023,Description for article 21,Meta description for 21,Short desc for knowledge 21,Sub_Code_7,Resolution_10,Hardware,Issue_1,Cause_2,055de9ac-b828-4735-886e-4f2b69940f8e
Name_22,5617,CI_22,Production,North America,Database,Hardware,Security,Manufacturer_7,High,Operational,Technology,Support_Group_1,Support_Group_4,Support_Group_1,Description of CI 22,KN_337,RKnSc,Domain_1,Author_22,Source_5,Parent_3,Spanish,4,0.71,Review,FALSE,31-12-2023,Description for article 22,Meta description for 22,Short desc for knowledge 22,Sub_Code_9,Resolution_7,Hardware,Issue_6,Cause_9,6333cf2e-0171-4f7e-9013-4aef50997a9c
Name_23,7782,CI_23,Staging,Australia,Database,Hardware,Security,Manufacturer_5,Medium,Under Maintenance,Healthcare,Support_Group_5,Support_Group_5,Support_Group_1,Description of CI 23,KN_747,eFdmv,Domain_1,Author_23,Source_5,Parent_1,Spanish,2,0.97,Draft,FALSE,31-12-2025,Description for article 23,Meta description for 23,Short desc for knowledge 23,Sub_Code_4,Resolution_3,Software,Issue_9,Cause_2,7e2e9b56-a318-4dcc-bff4-60d269dcbdcc
Name_24,7864,CI_24,Development,Asia,Network,Hardware,Compute,Manufacturer_3,High,Operational,Finance,Support_Group_5,Support_Group_4,Support_Group_5,Description of CI 24,KN_629,RUAdf,Domain_3,Author_24,Source_1,Parent_2,German,3,0.77,Draft,FALSE,31-12-2025,Description for article 24,Meta description for 24,Short desc for knowledge 24,Sub_Code_8,Resolution_1,Service,Issue_7,Cause_7,29d3984d-a6c6-4e49-be9e-d21a21bc964f
Name_25,4455,CI_25,Production,North America,Server,Service,Backup,Manufacturer_5,Low,Under Maintenance,Healthcare,Support_Group_4,Support_Group_5,Support_Group_4,Description of CI 25,KN_917,bViIE,Domain_5,Author_25,Source_4,Parent_3,German,1,0.68,Published,TRUE,31-12-2023,Description for article 25,Meta description for 25,Short desc for knowledge 25,Sub_Code_8,Resolution_9,Service,Issue_2,Cause_5,ad973456-997c-478d-a106-3407b4978cb5
Name_26,2480,CI_26,Development,Asia,Database,Hardware,Backup,Manufacturer_2,Medium,Decommissioned,Technology,Support_Group_5,Support_Group_1,Support_Group_3,Description of CI 26,KN_811,wlvxN,Domain_5,Author_26,Source_2,Parent_5,Spanish,2,0.81,Published,FALSE,31-12-2023,Description for article 26,Meta description for 26,Short desc for knowledge 26,Sub_Code_9,Resolution_8,Software,Issue_5,Cause_7,bf122a14-5594-41d2-914d-a00d8b1a75a2
Name_27,9256,CI_27,Staging,North America,Storage,Service,Storage,Manufacturer_7,Medium,Under Maintenance,Manufacturing,Support_Group_1,Support_Group_3,Support_Group_3,Description of CI 27,KN_488,EkRJx,Domain_4,Author_27,Source_4,Parent_4,French,1,0.94,Draft,TRUE,31-12-2023,Description for article 27,Meta description for 27,Short desc for knowledge 27,Sub_Code_8,Resolution_7,Software,Issue_6,Cause_7,6888b169-90fa-4498-83fe-ebe9aa517eee
Name_28,1995,CI_28,Staging,Australia,Database,Software,Backup,Manufacturer_6,Low,Decommissioned,Healthcare,Support_Group_5,Support_Group_4,Support_Group_2,Description of CI 28,KN_834,uHDfx,Domain_3,Author_28,Source_3,Parent_2,Japanese,1,0.85,Published,TRUE,31-12-2025,Description for article 28,Meta description for 28,Short desc for knowledge 28,Sub_Code_4,Resolution_8,Hardware,Issue_3,Cause_1,91fa6b05-b335-4e2e-81fe-0f897acc32e4
Name_29,6893,CI_29,Production,Europe,Storage,Service,Compute,Manufacturer_1,Critical,Operational,Manufacturing,Support_Group_2,Support_Group_1,Support_Group_5,Description of CI 29,KN_100,hHTeD,Domain_5,Author_29,Source_2,Parent_3,Spanish,4,0.53,Draft,TRUE,31-12-2023,Description for article 29,Meta description for 29,Short desc for knowledge 29,Sub_Code_8,Resolution_2,Hardware,Issue_10,Cause_6,b21d4cc1-e639-42b2-823b-460da7599605
Name_30,6766,CI_30,Staging,North America,Storage,Hardware,Storage,Manufacturer_2,Critical,Under Maintenance,Technology,Support_Group_2,Support_Group_5,Support_Group_3,Description of CI 30,KN_192,nIEdv,Domain_5,Author_30,Source_5,Parent_4,Japanese,1,0.63,Draft,TRUE,31-12-2025,Description for article 30,Meta description for 30,Short desc for knowledge 30,Sub_Code_6,Resolution_1,Service,Issue_2,Cause_6,3ab40975-1f6f-44c8-b733-ac2d6040fae8
Name_31,8750,CI_31,Development,Australia,Application,Hardware,Storage,Manufacturer_4,Critical,Under Maintenance,Healthcare,Support_Group_3,Support_Group_1,Support_Group_3,Description of CI 31,KN_905,FyasA,Domain_1,Author_31,Source_1,Parent_5,German,5,0.58,Draft,TRUE,31-12-2024,Description for article 31,Meta description for 31,Short desc for knowledge 31,Sub_Code_4,Resolution_1,Software,Issue_1,Cause_10,05975420-c11f-4bd9-b9cd-2509acf12bb3
Name_32,3524,CI_32,Development,Europe,Server,Service,Networking,Manufacturer_8,Low,Under Maintenance,Healthcare,Support_Group_2,Support_Group_1,Support_Group_2,Description of CI 32,KN_230,PlNMI,Domain_1,Author_32,Source_1,Parent_3,English,5,0.86,Draft,TRUE,31-12-2025,Description for article 32,Meta description for 32,Short desc for knowledge 32,Sub_Code_4,Resolution_9,Software,Issue_6,Cause_10,657df784-938e-4977-98b0-4976a8062ab9
Name_33,5909,CI_33,Production,Europe,Network,Software,Compute,Manufacturer_10,Critical,Decommissioned,Healthcare,Support_Group_5,Support_Group_1,Support_Group_2,Description of CI 33,KN_840,mGEHM,Domain_2,Author_33,Source_1,Parent_4,German,5,0.95,Review,FALSE,31-12-2025,Description for article 33,Meta description for 33,Short desc for knowledge 33,Sub_Code_8,Resolution_9,Service,Issue_3,Cause_3,d00fd31b-f699-4d35-9321-14a9de68337e
Name_34,9585,CI_34,Staging,Europe,Server,Hardware,Storage,Manufacturer_10,High,Operational,Manufacturing,Support_Group_1,Support_Group_2,Support_Group_3,Description of CI 34,KN_537,itfik,Domain_3,Author_34,Source_2,Parent_3,Spanish,4,0.71,Review,TRUE,31-12-2025,Description for article 34,Meta description for 34,Short desc for knowledge 34,Sub_Code_6,Resolution_9,Hardware,Issue_1,Cause_10,6260c9a6-dd43-4a02-9510-58db9d423071
Name_35,2210,CI_35,Production,Asia,Storage,Hardware,Networking,Manufacturer_4,Critical,Under Maintenance,Retail,Support_Group_3,Support_Group_1,Support_Group_4,Description of CI 35,KN_845,vXnuW,Domain_4,Author_35,Source_2,Parent_3,Japanese,1,0.98,Review,TRUE,31-12-2023,Description for article 35,Meta description for 35,Short desc for knowledge 35,Sub_Code_8,Resolution_5,Service,Issue_8,Cause_6,fa11d38f-306b-4c30-b445-4f471dbcaea3
Name_36,3436,CI_36,Staging,North America,Storage,Service,Compute,Manufacturer_1,Low,Decommissioned,Finance,Support_Group_5,Support_Group_2,Support_Group_2,Description of CI 36,KN_794,UzxyG,Domain_1,Author_36,Source_3,Parent_2,German,4,0.54,Archived,FALSE,31-12-2025,Description for article 36,Meta description for 36,Short desc for knowledge 36,Sub_Code_1,Resolution_2,Software,Issue_1,Cause_8,856a6fb8-0443-46ef-84f3-82203b3d4e9a
Name_37,6579,CI_37,Staging,Australia,Database,Software,Storage,Manufacturer_2,Low,Operational,Retail,Support_Group_1,Support_Group_5,Support_Group_2,Description of CI 37,KN_289,MbInJ,Domain_5,Author_37,Source_1,Parent_2,French,1,0.59,Archived,FALSE,31-12-2023,Description for article 37,Meta description for 37,Short desc for knowledge 37,Sub_Code_8,Resolution_7,Software,Issue_9,Cause_10,1b7b7da0-a080-465d-86f0-3b648bc37e15
Name_38,6933,CI_38,Production,Europe,Storage,Software,Networking,Manufacturer_2,Low,Decommissioned,Finance,Support_Group_4,Support_Group_2,Support_Group_2,Description of CI 38,KN_458,eBJTK,Domain_5,Author_38,Source_5,Parent_2,Spanish,3,0.91,Draft,FALSE,31-12-2024,Description for article 38,Meta description for 38,Short desc for knowledge 38,Sub_Code_3,Resolution_6,Software,Issue_10,Cause_4,faa271d9-a526-4d13-8fc0-ff5404d7d5bd
Name_39,8616,CI_39,Production,Australia,Network,Hardware,Compute,Manufacturer_6,Low,Decommissioned,Finance,Support_Group_1,Support_Group_5,Support_Group_2,Description of CI 39,KN_282,KBTNS,Domain_1,Author_39,Source_3,Parent_1,French,5,0.63,Review,TRUE,31-12-2025,Description for article 39,Meta description for 39,Short desc for knowledge 39,Sub_Code_9,Resolution_2,Hardware,Issue_10,Cause_5,03c3edef-47e4-40dc-8eca-7887e349653e
Name_40,6464,CI_40,Staging,Australia,Database,Software,Security,Manufacturer_4,Medium,Under Maintenance,Finance,Support_Group_2,Support_Group_1,Support_Group_1,Description of CI 40,KN_415,WvXKO,Domain_1,Author_40,Source_1,Parent_1,English,1,0.73,Draft,FALSE,31-12-2023,Description for article 40,Meta description for 40,Short desc for knowledge 40,Sub_Code_10,Resolution_4,Software,Issue_7,Cause_4,555fd2f5-8655-4233-bea3-31354138ed45
Name_41,4957,CI_41,Staging,North America,Storage,Software,Security,Manufacturer_7,Medium,Under Maintenance,Healthcare,Support_Group_5,Support_Group_2,Support_Group_2,Description of CI 41,KN_331,nvYOM,Domain_2,Author_41,Source_4,Parent_4,Spanish,4,0.98,Review,FALSE,31-12-2024,Description for article 41,Meta description for 41,Short desc for knowledge 41,Sub_Code_6,Resolution_5,Hardware,Issue_5,Cause_3,f9f67fa2-4eca-4688-9507-2fb1e9d05a4e
Name_42,8101,CI_42,Development,Europe,Network,Software,Security,Manufacturer_7,Medium,Under Maintenance,Manufacturing,Support_Group_2,Support_Group_1,Support_Group_2,Description of CI 42,KN_471,lvCJr,Domain_3,Author_42,Source_5,Parent_1,Spanish,5,0.76,Published,TRUE,31-12-2025,Description for article 42,Meta description for 42,Short desc for knowledge 42,Sub_Code_10,Resolution_3,Hardware,Issue_7,Cause_3,62ff6367-244d-4e01-9c88-1240407ab818
Name_43,3137,CI_43,Staging,North America,Application,Software,Networking,Manufacturer_2,Medium,Under Maintenance,Technology,Support_Group_5,Support_Group_5,Support_Group_5,Description of CI 43,KN_442,DNaVt,Domain_2,Author_43,Source_1,Parent_4,Spanish,1,0.89,Archived,TRUE,31-12-2024,Description for article 43,Meta description for 43,Short desc for knowledge 43,Sub_Code_6,Resolution_8,Software,Issue_10,Cause_2,c8c1e85f-1c64-493e-a5c5-016f6b509d5d
Name_44,5243,CI_44,Production,North America,Database,Hardware,Networking,Manufacturer_8,Medium,Operational,Technology,Support_Group_4,Support_Group_5,Support_Group_4,Description of CI 44,KN_757,sdMkD,Domain_2,Author_44,Source_1,Parent_2,English,5,0.95,Draft,FALSE,31-12-2025,Description for article 44,Meta description for 44,Short desc for knowledge 44,Sub_Code_7,Resolution_8,Hardware,Issue_7,Cause_6,8ca2696f-6455-4a7e-ad9c-d641453deb17
Name_45,4483,CI_45,Development,Asia,Storage,Hardware,Compute,Manufacturer_10,Critical,Under Maintenance,Finance,Support_Group_3,Support_Group_3,Support_Group_5,Description of CI 45,KN_142,mCMZv,Domain_1,Author_45,Source_1,Parent_2,German,4,0.87,Archived,TRUE,31-12-2024,Description for article 45,Meta description for 45,Short desc for knowledge 45,Sub_Code_3,Resolution_5,Hardware,Issue_9,Cause_6,2bc26663-1809-460a-93ba-c20b0894a95d
Name_46,7751,CI_46,Development,North America,Network,Service,Storage,Manufacturer_5,Critical,Decommissioned,Manufacturing,Support_Group_2,Support_Group_3,Support_Group_2,Description of CI 46,KN_990,oYQIs,Domain_4,Author_46,Source_3,Parent_5,German,2,0.78,Draft,TRUE,31-12-2023,Description for article 46,Meta description for 46,Short desc for knowledge 46,Sub_Code_1,Resolution_5,Software,Issue_6,Cause_5,e266f5cb-cd95-4c51-990b-84609aa47b61
Name_47,2459,CI_47,Development,Australia,Storage,Hardware,Compute,Manufacturer_3,Critical,Operational,Finance,Support_Group_1,Support_Group_2,Support_Group_5,Description of CI 47,KN_148,RRyup,Domain_3,Author_47,Source_3,Parent_5,Spanish,1,0.96,Review,FALSE,31-12-2025,Description for article 47,Meta description for 47,Short desc for knowledge 47,Sub_Code_10,Resolution_7,Hardware,Issue_8,Cause_2,6c2a899f-b12d-4c57-be90-b752a7841d3a
Name_48,9000,CI_48,Staging,Asia,Network,Service,Networking,Manufacturer_1,Low,Under Maintenance,Retail,Support_Group_4,Support_Group_3,Support_Group_4,Description of CI 48,KN_271,JWfyL,Domain_3,Author_48,Source_5,Parent_2,Japanese,2,0.91,Published,TRUE,31-12-2023,Description for article 48,Meta description for 48,Short desc for knowledge 48,Sub_Code_9,Resolution_9,Service,Issue_7,Cause_5,b68a11ab-3b33-4d5b-a92a-2cc8543acee4
Name_49,9247,CI_49,Development,Australia,Storage,Service,Compute,Manufacturer_9,High,Under Maintenance,Manufacturing,Support_Group_4,Support_Group_5,Support_Group_4,Description of CI 49,KN_262,zTqYf,Domain_4,Author_49,Source_4,Parent_5,French,1,0.83,Archived,FALSE,31-12-2025,Description for article 49,Meta description for 49,Short desc for knowledge 49,Sub_Code_7,Resolution_2,Software,Issue_9,Cause_10,251e77bf-ff72-4244-9354-07531e7ae228
Name_50,2465,CI_50,Staging,Australia,Database,Service,Networking,Manufacturer_10,High,Under Maintenance,Technology,Support_Group_1,Support_Group_1,Support_Group_5,Description of CI 50,KN_591,jeGPq,Domain_3,Author_50,Source_1,Parent_1,French,1,0.76,Archived,TRUE,31-12-2025,Description for article 50,Meta description for 50,Short desc for knowledge 50,Sub_Code_5,Resolution_4,Software,Issue_1,Cause_6,a9424d22-f28f-4b7b-b276-19239ee1eed7
Name_51,7997,CI_51,Staging,North America,Server,Service,Security,Manufacturer_10,Low,Under Maintenance,Finance,Support_Group_1,Support_Group_4,Support_Group_1,Description of CI 51,KN_520,MmyDJ,Domain_2,Author_51,Source_5,Parent_1,English,5,0.83,Draft,TRUE,31-12-2023,Description for article 51,Meta description for 51,Short desc for knowledge 51,Sub_Code_10,Resolution_9,Hardware,Issue_3,Cause_6,6aeb422c-181d-41fd-9b74-fd6bc992061d
Name_52,7136,CI_52,Staging,Australia,Application,Hardware,Storage,Manufacturer_10,High,Decommissioned,Technology,Support_Group_1,Support_Group_4,Support_Group_4,Description of CI 52,KN_909,JFmou,Domain_3,Author_52,Source_5,Parent_1,German,1,0.72,Published,FALSE,31-12-2024,Description for article 52,Meta description for 52,Short desc for knowledge 52,Sub_Code_3,Resolution_10,Service,Issue_2,Cause_2,0f63098a-5c97-4323-b952-b1985d884b6d
Name_53,2924,CI_53,Staging,North America,Database,Service,Storage,Manufacturer_10,Low,Decommissioned,Technology,Support_Group_5,Support_Group_1,Support_Group_1,Description of CI 53,KN_413,MzGJg,Domain_2,Author_53,Source_2,Parent_2,Japanese,2,0.8,Archived,TRUE,31-12-2025,Description for article 53,Meta description for 53,Short desc for knowledge 53,Sub_Code_1,Resolution_1,Software,Issue_7,Cause_6,f7a46f15-a3db-483e-848c-5b0a11537dee
Name_54,8679,CI_54,Development,North America,Application,Service,Storage,Manufacturer_3,Low,Under Maintenance,Technology,Support_Group_2,Support_Group_4,Support_Group_5,Description of CI 54,KN_415,LpeuO,Domain_3,Author_54,Source_5,Parent_5,Japanese,5,0.51,Draft,TRUE,31-12-2023,Description for article 54,Meta description for 54,Short desc for knowledge 54,Sub_Code_2,Resolution_6,Service,Issue_9,Cause_10,71442358-1d1e-44c2-a6e5-1d10982c4452
Name_55,1675,CI_55,Development,North America,Application,Software,Security,Manufacturer_6,Medium,Under Maintenance,Finance,Support_Group_5,Support_Group_2,Support_Group_2,Description of CI 55,KN_545,pEZuP,Domain_4,Author_55,Source_1,Parent_4,Japanese,2,0.79,Review,FALSE,31-12-2025,Description for article 55,Meta description for 55,Short desc for knowledge 55,Sub_Code_3,Resolution_4,Service,Issue_9,Cause_7,9cf20bbd-18b2-4487-9a78-c035a5db6655
Name_56,7463,CI_56,Development,North America,Server,Service,Backup,Manufacturer_4,Critical,Under Maintenance,Healthcare,Support_Group_2,Support_Group_4,Support_Group_1,Description of CI 56,KN_344,asSdS,Domain_1,Author_56,Source_5,Parent_5,Spanish,2,0.93,Archived,TRUE,31-12-2024,Description for article 56,Meta description for 56,Short desc for knowledge 56,Sub_Code_5,Resolution_10,Software,Issue_7,Cause_1,9bb34f68-f6e2-4363-8156-f52685c847b2
Name_57,3038,CI_57,Development,Asia,Storage,Software,Backup,Manufacturer_10,Medium,Under Maintenance,Finance,Support_Group_2,Support_Group_1,Support_Group_2,Description of CI 57,KN_784,FoORq,Domain_4,Author_57,Source_2,Parent_1,German,3,0.6,Published,TRUE,31-12-2025,Description for article 57,Meta description for 57,Short desc for knowledge 57,Sub_Code_1,Resolution_2,Hardware,Issue_4,Cause_9,69310675-6739-4856-878b-6ed052281460
Name_58,4185,CI_58,Production,Asia,Application,Hardware,Security,Manufacturer_2,High,Decommissioned,Finance,Support_Group_1,Support_Group_5,Support_Group_1,Description of CI 58,KN_588,UoPrB,Domain_5,Author_58,Source_1,Parent_2,French,2,0.69,Review,FALSE,31-12-2023,Description for article 58,Meta description for 58,Short desc for knowledge 58,Sub_Code_7,Resolution_5,Service,Issue_6,Cause_1,c8fb579d-2105-4328-bf70-ff94e575fb0b
Name_59,7460,CI_59,Production,Europe,Storage,Hardware,Networking,Manufacturer_4,High,Decommissioned,Healthcare,Support_Group_4,Support_Group_1,Support_Group_4,Description of CI 59,KN_539,LGCVf,Domain_1,Author_59,Source_2,Parent_4,Spanish,4,0.92,Published,FALSE,31-12-2023,Description for article 59,Meta description for 59,Short desc for knowledge 59,Sub_Code_10,Resolution_8,Hardware,Issue_7,Cause_2,70c722bf-4bf6-4b00-a863-9022209e8424
